url,sourceTitle,new_lrt,discipline,educationalContext,intendedEndUserRole,typicalAgeRangeFrom,typicalAgeRangeTo,language,keyword,Eingetragen am,KldB (4-stellig),Beruf,ESCO
https://www.youtube.com/channel/UC0Cn3gS4xpfU_6KxtwFPOmg/featured,Sven Sommer - Chemie und Physik-Experimente,7a6e9608-2554-4981-95dc-47ab9ba924de,100; 460,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UC_AOOUYuJvHwEbgoe4DS6bw/featured,einfachMathe - Erklärvideos bis zum Abi,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCiK7vUKWvTTn0Mt2Dx5cn4Q/featured,Chemie Experimente,7a6e9608-2554-4981-95dc-47ab9ba924de,100,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCZHpIFMfoJJ_1QxNGLJTzyA/featured,MrWissen2go,7a6e9608-2554-4981-95dc-47ab9ba924de,480,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCHnmeuSOn1Hscizw6otqWrA/featured,Scobel,7a6e9608-2554-4981-95dc-47ab9ba924de,450; 160,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCNZobzDT5tde8FCOMto-kIg/featured,Einfach Geschichte,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCUcyEsEjhPEDf69RRVhRh4A/featured,The Great War,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCNOsl2b57wNgN7l13TOzNJQ/featured,Jule Sommersberg,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCV9AcuxBK-W3ejgsDm35W1w/feed,seguGeschichte,7a6e9608-2554-4981-95dc-47ab9ba924de,240,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCJWn5X9X50U0kcNCgBou7EA/featured,YoungBusinessSchool,7a6e9608-2554-4981-95dc-47ab9ba924de,380; 04003; 700,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCHCip3cKoCIkpfeYDV7-aLg/featured,Lernkiste - Mathematik,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCy0FxMgGUlRnkxCoNZUNRQQ/featured,Lehrerschmidt ,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCPVQdTsc9O0VM41vAhdlVLw/featured,ObachtMathe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCO7ksLK-11tVxalfPKf7BTQ/featured,Primartorium,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Primarstufe; Sekundarstufe 1,learner; teacher,6,13,de,,,,,
https://www.youtube.com/channel/UCMU8r31Zm_QJ7ddd12gpOjw/featured,StrandMathe,7a6e9608-2554-4981-95dc-47ab9ba924de,380,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCLFQOEC-dUaC5Qk6ccnHlcA,Physik digital.de,7a6e9608-2554-4981-95dc-47ab9ba924de,460,Sekundarstufe 1; Sekundarstufe 2; Erwachsenenbildung,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UClt8eDAJGh-z0F5YnssHSvw/featured,Museum im Kulturspeicher,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCwZ3pAKr_nXgdGWZVpDPT_A/featured,Kunst mit Simi,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCPxqEoyZI89LDAB5nQ5Cg3Q/featured,Kunst + Unterricht,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCb3JeLUzhZH1i5dafCn7pOQ/featured,Anna Schirmer,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/channel/UCFt8Sh8cbg-K5hZs3hhKbmA/featured,Der Kunstklärer,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
