lom.general.title,lom.general.description,lom.general.keyword,lom.technical.location,valuespaces.discipline,valuespaces.learningResourceType
Deutschland Archiv,"""Deutschland Archiv Online"" bietet wissenschaftlich fundierte, allgemein verständliche Beiträge zur gemeinsamen deutschen Nachkriegsgeschichte und ihrer Aufarbeitung, zum deutschen Einigungsprozess im europäischen Kontext sowie zur Erinnerungs- und G","['Deutschland', 'Archiv', 'Deutschland Archiv', 'Geschichte']",https://www.bpb.de/geschichte/zeitgeschichte/deutschlandarchiv/,['Geschichte'],
Sinti und Roma in Europa,Seit dem Mittelalter leben Sinti und Roma in Europa. Ihre Zahl wird heute auf knapp zwölf Millionen geschätzt. In vielen europäischen Ländern ist die Situation der Roma prekär. Besonders in Südosteuropa leben sie häufig am Rande der Gesellschaft. In ,"['Minderheit', 'Sinti und Roma', 'Sinti', 'Roma', 'Diskriminierung']",https://www.bpb.de/internationales/europa/sinti-und-roma-in-europa/,,
Infografiken - Die Vereinten Nationen,"Warum wurden die Vereinten Nationen gegründet? Welche Ziele und Aufgaben haben sie? Was ist der Sicherheitsrat und welche Rolle spielt Deutschland? Die 11 Infografiken geben Antworten und zeigen anschaulich, wie die UN aufgebaut sind. ","['UN', 'United Nation', 'Vereinte Nationen', 'UNO', 'Internationale Politik']",https://www.bpb.de/internationales/weltweit/vereinte-nationen/,,
Russland,"Von Osteuropa bis in den äußersten Osten Asiens: So weit sich Russland erstreckt, so vielfältig ist auch das Land. Ein Überblick über Geschichte, Politik, Gesellschaft, Kultur und Geografie eines Landes zwischen Autokratie und Modernisierung. ","['Russland', 'Russische Föderation', 'Sowjetunion', 'Putin']",https://www.bpb.de/internationales/europa/russland/,,
Innerstaatliche Konflikte,"Vom Kosovo nach Kolumbien, von Somalia nach Süd-Thailand: Weltweit schwelen über 280 politische Konflikte. Und immer wieder droht die Lage gewaltsam zu eskalieren. ","['Innerstaatliche Konflikte', 'Krieg', 'Konflikt', 'Friedensmission', 'Afghanistan']",https://www.bpb.de/internationales/weltweit/innerstaatliche-konflikte/,,
Menschenrechte,"Auf der Flucht vor Zwangsheirat, hinter Gittern wegen der ""falschen"" Meinung, in der Textilfabrik von Kindesbeinen an: Auch 70 Jahre nach Erklärung der Allgemeinen Menschenrechte ist die Frage nach Freiheit und Würde des Menschen aktuell. Sind Mensch","['Menschenrechte', 'Allgemeinen Erklärung der Menschenrechte', 'Menschenrechtsbildung', 'Missachtung der Menschenrechte']",https://www.bpb.de/internationales/weltweit/menschenrechte/,,
Ukraine-Analysen,"Die Ukraine-Analysen bieten einen aktuellen Einblick in die politischen, wirtschaftlichen, sozialen und kulturellen Entwicklungen in der Urkaine. Sie machen aktuelles Wissen von Wissenschaft und Forschung verfügbar.","['Ukraine', 'Ukraine-Analysen']",https://www.bpb.de/internationales/europa/ukraine/,,
Weltweit,"Terrorismus, Menschenrechte, Innerstaatliche Konflikte: Themen, die die ganze Welt beschäftigen. Die Vereinten Nationen sind die wichtigste Institution der Weltpolitik.","['Internationales', 'Weltweit']",https://www.bpb.de/internationales/weltweit/,,
