inferenced;title;url;discipline;learningResourceType;systematics;discipline systematics;words primary
False;Station 4: Quadernetze vervollständigen ;https://www.tutory.de/bereitstellung/dokument/7f0427ba-5584-4dfb-810d-0590ccd53eb2;;;;;;
False;Station 8: Quadernetze finden;https://www.tutory.de/bereitstellung/dokument/1bff0a53-ecdc-4932-aaeb-3b9d287fa5c3;;;;;;
False;Station 8: Quadernetze finden;https://www.tutory.de/bereitstellung/dokument/628f9688-ef08-4899-8d6a-2fdbb8f74415;;;;;;
True;Atommodelle im Vergleich;https://www.tutory.de/bereitstellung/dokument/38e60ed7-edde-45d3-91ff-6d46d081b857;;Modell;;;;
True;Akkusativ ;https://www.tutory.de/bereitstellung/dokument/40bffbb6-aeb2-47e1-a3c5-bb0280647320;;;Nordamerika, USA;GEOGRAPHIE, FREMDSPRACHEN;;
True;Mikrofortbildung WirLernenOnline;https://www.tutory.de/bereitstellung/dokument/d627c79e-f02b-4b6a-adcc-0eaae29775c5;;Bild;Berufsweg, Fort- und Weiterbildung;ARBEITSLEHRE;;
False;Wahl des Klassensprechers;https://www.tutory.de/bereitstellung/dokument/65319ef7-5eb0-4f86-aa87-f4d360221861;;;;;;
True;Campus L2.1: Rätsel Personalformen;https://www.tutory.de/bereitstellung/dokument/c474354c-8c07-4579-80b5-cf91a93e1197;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Campus L2.1: Rätsel Personalformen;https://www.tutory.de/bereitstellung/dokument/d7c87e49-bc4c-4c23-9206-281eb9a63bd9;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Campus L2.1: Rätsel Personalformen;https://www.tutory.de/bereitstellung/dokument/7b744e07-6689-4f8f-adc7-47053c3ba888;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
False;Leseblatt Herbst;https://www.tutory.de/bereitstellung/dokument/c530ad76-7480-4c74-826d-7bc60374f131;;;;;;
False;Herbstwörter;https://www.tutory.de/bereitstellung/dokument/5667fbd1-68c0-4c93-b320-d2082ca036eb;;;;;;
True;E-Kurs Mathematik;https://www.tutory.de/bereitstellung/dokument/877b59ae-5aaf-4b83-bc78-7dc09fa9a5c4;Mathematik;Kurs;Geometrie, Mathematik, Technik, Naturwissenschaften, Mathematik und Chaos, Endliche Mathematik, Stochastik, Analysis, Analytische Geometrie, Zahlen, Algebra, Mathematik und Statistik, Mathematische Anwendungen in anderen Gebieten;MATHEMATIK, BERUFLICHE BILDUNG, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
True;Atome können sich verbinden;https://www.tutory.de/bereitstellung/dokument/8114ccdf-bd28-4535-b26a-02e7aa285a04;;;Verbindungen, Schutz und Sicherheit;CHEMIE, BERUFLICHE BILDUNG;;
False;Der Imperativ;https://www.tutory.de/bereitstellung/dokument/5a2691f0-086f-4ade-ab7e-9b1cbc5f8846;;;;;;
True;Die Gegenwartsform im Deutschen (das Präsens);https://www.tutory.de/bereitstellung/dokument/2be19e2f-c658-45e9-9ccd-89ce918c447a;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Sprechen, Mittelalter, Anlässe zum Sprechen, Lesen, Schreiben, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Schreiben, Märchen, Sagen, Darstellendes Spiel, Schultheater, Form, Komposition, Perspektive, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;DEUTSCH, GRUNDSCHULE, BILDENDE KUNST;;
True;Die Gegenwartsform im Deutschen (das Präsens);https://www.tutory.de/bereitstellung/dokument/b1a1ba80-bc4d-49e6-81e2-3cc4db160c20;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Sprechen, Mittelalter, Anlässe zum Sprechen, Lesen, Schreiben, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Schreiben, Märchen, Sagen, Darstellendes Spiel, Schultheater, Form, Komposition, Perspektive, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;DEUTSCH, GRUNDSCHULE, BILDENDE KUNST;;
True;Erdkunde Klassenarbeit Wir orientieren uns;https://www.tutory.de/bereitstellung/dokument/619864c7-1442-4164-9af5-c0654b44a526;Geografie;;Arbeit;POLITISCHE BILDUNG;;
False;Vocab test no.2 (p.182);https://www.tutory.de/bereitstellung/dokument/9a0984ac-f02c-441a-a641-c0cb4bd4545b;;;;;;
False;Kontrolle Nr. 1: Belehrung, Körper und Stoffe (B);https://www.tutory.de/bereitstellung/dokument/b57c10d3-d3cf-42c0-99e2-a9ff568a1ee0;;;;;;
False;Kontrolle Nr. 1: Belehrung, Körper und Stoffe (A);https://www.tutory.de/bereitstellung/dokument/fa24bc06-682d-4bfa-bb65-f9930ef318ab;;;;;;
True;Gestaltung von Unfallberichten (Einführung) ;https://www.tutory.de/bereitstellung/dokument/0de67b55-4ec6-4a08-95af-9ea76196141e;;;Design, Gestaltung;BERUFLICHE BILDUNG;;
True;das deutsche Alphabet;https://www.tutory.de/bereitstellung/dokument/65cc4ba4-6d04-41fa-986f-5f6f8fa60f0a;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Sprechen, Mittelalter, Anlässe zum Sprechen, Lesen, Schreiben, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Schreiben, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH;;
False;Inflation 1923;https://www.tutory.de/bereitstellung/dokument/2decbe12-0647-4048-81a2-c823e807eab0;;;;;;
True;Atombau - Atom-Hülle und Atom-Kern;https://www.tutory.de/bereitstellung/dokument/19f196d5-6c00-42a1-a962-30750b1c7254;;;Atombau, Spektren, Anpassung, Bau, Pflege, Atombau, Periodensystem;CHEMIE, PHYSIK, GRUNDSCHULE;;
True;Naturräume Europa;https://www.tutory.de/bereitstellung/dokument/0f455ed4-e842-49bd-bc7c-75dc6c9ba1ce;;;Europa, Natur;GESCHICHTE, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
True;Jahreszeiten;https://www.tutory.de/bereitstellung/dokument/7e2b3461-a8b1-44d6-a296-d22dda880bd5;;;Zeiterfahrungen;GRUNDSCHULE;;
False;Protokoll;https://www.tutory.de/bereitstellung/dokument/1c429af7-bac4-4c89-ab3c-028f24ecbb69;;;;;;
True;deutsches ABC;https://www.tutory.de/bereitstellung/dokument/72410448-671d-4da5-a1d9-4c4f7e314619;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH;;
True;Trigonometrische Funktionen - Einführung;https://www.tutory.de/bereitstellung/dokument/63182f9f-ea78-4801-813b-03e703fa4bf4;;;Film, Funk und Fernsehen;BERUFLICHE BILDUNG;;
True;Computerverwendung-Friedensschule;https://www.tutory.de/bereitstellung/dokument/0d40e2b2-1ea7-4244-84d9-31cc170d9be7;;;Schule, Ausbildung, Schule, Schule;GRUNDSCHULE, INTERKULTURELLE BILDUNG, POLITISCHE BILDUNG;;
True;Übungen zu Elementarteilchen;https://www.tutory.de/bereitstellung/dokument/06c39720-f0b8-4456-99eb-19d90114a3b0;;Übung;;;;
False;Die DDR;https://www.tutory.de/bereitstellung/dokument/4944585a-9fec-4f7d-a26a-463adf041389;;;;;;
False;How to Write a Comment;https://www.tutory.de/bereitstellung/dokument/8811b0de-a11b-4099-a47c-4c34cd877146;;;;;;
True;Form und Erwartungshorizont der Leistungsüberprüfung;https://www.tutory.de/bereitstellung/dokument/3d189c7e-4048-4ab0-a99d-4c2627f4d4d7;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
False;Leistungskontrolle Emser Depesche- Fake News;https://www.tutory.de/bereitstellung/dokument/c588d648-f711-4a92-b3ad-cf37706e4f30;;;;;;
True;Form und Erwartungshorizont der Leistungsüberprüfung;https://www.tutory.de/bereitstellung/dokument/77b3a43c-41bd-417f-864f-4d2fbc52ac14;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
False;Leistungskontrolle Emser Depesche- Fake News;https://www.tutory.de/bereitstellung/dokument/20a308b1-696e-46d5-b293-8d295879ca66;;;;;;
False;Emser Depesche (1870) Erwartungshorizont Niveau B;https://www.tutory.de/bereitstellung/dokument/86d80293-4f27-49e2-b85d-669b301af19b;;;;;;
False;Emser Depesche (1870) Niveau B;https://www.tutory.de/bereitstellung/dokument/9dfe556f-f465-4ddb-9fa8-a41b3ac66e8c;;;;;;
False;Emser Depesche (1870) Erwartungshorizont Niveau A;https://www.tutory.de/bereitstellung/dokument/06f98f50-428f-4ad8-954b-2f98eb291009;;;;;;
False;Emser Depesche (1870) Niveau A;https://www.tutory.de/bereitstellung/dokument/137f892b-f202-4d07-9614-c6d011c84d9d;;;;;;
False;Portfolio - Emser Depesche (1870);https://www.tutory.de/bereitstellung/dokument/940d2401-786b-4d4d-ba5d-b8f0b53aa322;;;;;;
True;Form und Erwartungshorizont der Leistungsüberprüfung;https://www.tutory.de/bereitstellung/dokument/7a0d0f53-b26c-412e-aa96-a6b80924b6de;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
False;Leistungskontrolle Emser Depesche- Fake News;https://www.tutory.de/bereitstellung/dokument/14e33ce9-c84a-4b07-b166-502955b88acc;;;;;;
True;MaterialundLeistungsüberprüfung_Gemeinschaft durch Feindbilder?;https://www.tutory.de/bereitstellung/dokument/7870cdf7-34dd-46cf-aace-8f71379fe238;;Bild;Gemeinschaft, Familie, Gemeinschaft, Verein;FREIZEIT, RELIGION;;
True;HandreichungLehrkraefte_Gemeinschaft durch Feindbilder?;https://www.tutory.de/bereitstellung/dokument/1a0eae67-55de-4a24-bccf-09f3efbb061b;;Bild;Kaiser, Kirche, Reich, Gemeinschaft, Familie, Gemeinschaft, Verein;FREIZEIT, RELIGION, GESCHICHTE;;
False;Emser Depesche (1870) Erwartungshorizont Niveau B;https://www.tutory.de/bereitstellung/dokument/63d27c12-eba0-429a-a539-7a7e2f8f0870;;;;;;
False;Emser Depesche (1870) Niveau B;https://www.tutory.de/bereitstellung/dokument/287267bb-9412-4e96-91ce-53e33b29680a;;;;;;
False;Emser Depesche (1870) Erwartungshorizont Niveau A;https://www.tutory.de/bereitstellung/dokument/511119b4-0fb2-4dea-90bb-0421e30a5470;;;;;;
False;Emser Depesche (1870) Niveau A;https://www.tutory.de/bereitstellung/dokument/41ef4595-86e4-4bc8-9378-b510542ac2bd;;;;;;
True;Handreichung - Emser Depesche (1870);https://www.tutory.de/bereitstellung/dokument/98971b53-3969-4c46-848e-4424d7b39520;;;Kaiser, Kirche, Reich;GESCHICHTE;;
True;MaterialohneLeistungsüberprüfung_Gemeinschaft durch Feindbilder?;https://www.tutory.de/bereitstellung/dokument/1f4cd4ef-8877-4e2e-8fce-7d256681d259;;Bild;Gemeinschaft, Familie, Gemeinschaft, Verein;FREIZEIT, RELIGION;;
False;Vorschlag Leistungsüberprüfung American Dream;https://www.tutory.de/bereitstellung/dokument/8d0db8aa-d57b-433b-9992-b7f9e008a4ca;;;;;;
False;American Dream Material B (Differenziert) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/7de06e09-eff6-46bf-84b2-1cf9cb4e8b9f;;;;;;
False;American Dream Material B (Differenziert);https://www.tutory.de/bereitstellung/dokument/0cb956b5-b339-4fcc-accd-bf444d1c7377;;;;;;
False;American Dream Material A Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/17535c3d-0fc0-4555-ae4e-a8ed68481877;;;;;;
False;American Dream Material A;https://www.tutory.de/bereitstellung/dokument/cf941273-3b1c-4f21-a02f-2758e44e574c;;;;;;
True;Handreichung American Dream- das Land der unbegrenzten Möglichkeiten?;https://www.tutory.de/bereitstellung/dokument/413cc706-7542-477b-91cf-b1df9ead625d;;;Kaiser, Kirche, Reich, Sprechen, Schreiben;DEUTSCH, GESCHICHTE;;
False;Vorschlag Leistungsüberprüfung American Dream;https://www.tutory.de/bereitstellung/dokument/c1f26baa-05d4-4eff-aa36-a5724a293255;;;;;;
False;American Dream Material B (Differenziert) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/6a6d9fcd-809b-458a-9de2-685f7825e7d0;;;;;;
False;American Dream Material B (Differenziert);https://www.tutory.de/bereitstellung/dokument/1870c532-8e45-4dbe-a81d-8dde440af6cf;;;;;;
False;American Dream Material A Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/9ac8f0b3-b1f4-477f-8efb-3c667ee08555;;;;;;
False;American Dream Material A;https://www.tutory.de/bereitstellung/dokument/52f8b59f-214d-4325-8dc7-e5c12cf8c20c;;;;;;
True;Handreichung American Dream- das Land der unbegrenzten Möglichkeiten?;https://www.tutory.de/bereitstellung/dokument/4ffa51cb-ee9a-4994-b791-ee6488376c5a;;;Kaiser, Kirche, Reich, Sprechen, Schreiben;DEUTSCH, GESCHICHTE;;
False;American Dream Material B (Differenziert) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/b588df33-1c9e-46bc-9bde-93168ce7987e;;;;;;
True;Grundelemente eines Computersystems;https://www.tutory.de/bereitstellung/dokument/692b3f49-3a93-44b7-b1a0-d33c9e356f18;;;Elemente;CHEMIE;;
False;Reflexion;https://www.tutory.de/bereitstellung/dokument/90a0a423-b4f5-4bee-a6a7-54825611cfbc;;;;;;
False;Calliope - Sensoren, Anschlüsse und Pinbelegung;https://www.tutory.de/bereitstellung/dokument/231cb1b3-531d-4e5b-bb7e-55d193784ae3;;;;;;
False;Micro:bit Sensoren, Anschlüsse, Pinbelegungen;https://www.tutory.de/bereitstellung/dokument/d47d76f1-089b-4dfd-a627-54a0a9889e4a;;;;;;
False;Bewertungsbogen: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 4 B;https://www.tutory.de/bereitstellung/dokument/d6d170dd-748c-465b-b598-b6038f4bd86e;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 4 B;https://www.tutory.de/bereitstellung/dokument/5201dcaf-e29f-4b1f-abe7-1cbc8c34c8a2;;;;;;
False;Erwartungshorizont: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 4 A;https://www.tutory.de/bereitstellung/dokument/53bbff14-69de-43b6-8833-88bcb6087860;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 4 A;https://www.tutory.de/bereitstellung/dokument/219d7446-dfe1-4a73-a942-373353a49efd;;;;;;
False;Erwartungshorizont: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 3 A und B;https://www.tutory.de/bereitstellung/dokument/c14ac79e-34ae-417d-bc96-36b09ea897ba;;;;;;
True;Lernnachweis Schreiben M - 2. Versuch;https://www.tutory.de/bereitstellung/dokument/a767e4c0-3364-47fa-93ce-430fc7327f5d;;;Schreiben, Anlässe zum Sprechen, Lesen, Schreiben, Schreiben;GRUNDSCHULE, DEUTSCH;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 3 B;https://www.tutory.de/bereitstellung/dokument/2620cf23-cecb-4510-9f38-331fe8c75e18;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 3 A;https://www.tutory.de/bereitstellung/dokument/0302329c-7bbd-4f30-a4b6-ae9033b31378;;;;;;
False;Erwartungshorizont: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 3 A+ und B+;https://www.tutory.de/bereitstellung/dokument/249e1abf-5a87-4baa-a86a-e3b0dd47aad0;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf Modul 3 B+;https://www.tutory.de/bereitstellung/dokument/6dfd082f-bb33-449c-88a7-69c1b7b5955c;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 3 A+;https://www.tutory.de/bereitstellung/dokument/8ed7751f-c18b-4506-bdf2-85e0b4ec6504;;;;;;
False;Erwartungshorizont: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 2 B;https://www.tutory.de/bereitstellung/dokument/b7210993-b5ae-4632-bb65-f9d98d2bec64;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 2 B;https://www.tutory.de/bereitstellung/dokument/6dba5966-1902-4617-8cd8-6d4b07fd2d07;;;;;;
False;Erwartungshorizont: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 2 A;https://www.tutory.de/bereitstellung/dokument/2deb8b87-48b9-4e75-9dfe-79958ef0d830;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 2 A;https://www.tutory.de/bereitstellung/dokument/37f52a66-bbc5-4e94-96aa-ea3ceac53475;;;;;;
False;Erwartungshorizont: Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 1 AB;https://www.tutory.de/bereitstellung/dokument/103cca4f-7142-4342-b49a-1459ed158177;;;;;;
False;Dreißigjähriger Krieg_Tagebuch_Hagendorf, Modul 1 AB;https://www.tutory.de/bereitstellung/dokument/3e2018f1-e833-46e7-a326-e55ac4c7e644;;;;;;
True;Lernnachweis Schreiben M - 1. Versuch;https://www.tutory.de/bereitstellung/dokument/6fcb1c97-e9c2-4ff0-b5ba-21ffd1083021;;;Schreiben, Anlässe zum Sprechen, Lesen, Schreiben, Schreiben;GRUNDSCHULE, DEUTSCH;;
False;Leistungsüberprüfung ;https://www.tutory.de/bereitstellung/dokument/cef679a6-b64b-4075-87a7-f335a69ab5b8;;;;;;
True;Kopie von: Kopie von: Widerstand im Nationalsozialismus;https://www.tutory.de/bereitstellung/dokument/e1532132-0ebd-4b3f-8a84-09f3c151e3b5;;;Widerstand;GESCHICHTE;;
True;Kopie von: Kopie von: Widerstand im Nationalsozialismus;https://www.tutory.de/bereitstellung/dokument/11d37eef-9a8b-4043-8825-8c970c0b3b70;;;Widerstand;GESCHICHTE;;
True;Kopie von: Widerstand im Nationalsozialismus;https://www.tutory.de/bereitstellung/dokument/55ca8f45-24bc-4141-8993-e468d85d70e1;;;Widerstand;GESCHICHTE;;
True;Kopie von: Kopie von: Kopie von: Widerstand im Nationalsozialismus;https://www.tutory.de/bereitstellung/dokument/2b9e5169-5228-4fe0-9aea-1c50ef65c1f3;;;Widerstand;GESCHICHTE;;
False;Leistungsüberprüfung ;https://www.tutory.de/bereitstellung/dokument/6fbc2ced-9589-4716-b369-ff1e636fe0c0;;;;;;
True;Erwartungshorizont Material B (Differenziert) Das Land der unbegrenzten Möglichkeiten? - Der American Dream;https://www.tutory.de/bereitstellung/dokument/b73284e6-e3d4-414f-854c-3e747e86d96c;;;Sprechen, Schreiben;DEUTSCH;;
True;Prüfungsleistung Fachdidaktik Geschichte;https://www.tutory.de/bereitstellung/dokument/b07d4452-2fd1-4b91-bb0e-952d2b8c8d55;Geschichte;;Außereuropäische Staaten und Völker, Restauration, Revolutionen des 19. Jahrhunderts, Vor- und Frühgeschichte, Weimarer Republik, Griechische Geschichte, Alltag, Kultur, Didaktik und Methodik des Informationsunterrichts, Arbeit, Handwerk, Nationale Bewegungen und Deutsches Kaiserreich, Bürgerliche Revolutionen des 18. Jahrhunderts, Bildung und Wissenschaft, Schreiben, Recht, Deutsche Demokratische Republik 1949 - 1990, Bilingualer Unterricht, Islam, Judentum, Außereuropäische Geschichte, Internationale Entwicklungen, Quellenkunde, Völkerwanderung, germanische Geschichte, Industrialisierung und soziale Frage, Römische Geschichte, etruskische Geschichte, Osteuropäische Länder, Allgemeine Längs- und Querschnitte, Kriegs- und Wehrwesen, Wirtschaft, Märchen und Geschichten, Humanismus und Renaissance, Zweiter Weltkrieg, Siedlungsformen, Politische und gesellschaftliche Entwicklung, Imperialismus und Erster Weltkrieg, Regionalgeschichte, Lokalgeschichte, Gesellschaft, Technik, Verkehr, Sprechen, Landesgeschichte, Westeuropäische Länder, Formen der Weltauffassung, Religion, Kaiser, Kirche, Reich, Wirtschaft und Gesellschaft, Frühe Hochkulturen, Reformation, Bauernkriege, Glaubenskämpfe, Verfolgung, Absolutismus, Aufklärung, Parlamentarismus, Napoleon, Napoleonisches Zeitalter, Bundesrepublik Deutschland, Neuere Geschichte außereuropäischer Staaten und Völker, Europa, Bundesrepublik Deutschland 1949 - 1990, Staat, Herrschaftsformen, Kultur, Außereuropäische Staaten und Völker, Methodik, Didaktik, Internationale Entwicklungen, Alliierte Besatzung 1945 -1949, Zeitalter der Entdeckungen, Eroberungen und Erfindungen, Widerstand, Weitere Themen der neueren europäischen Geschichte, Biographien, Kriege, Kreuzzüge, Normannen;PÄDAGOGIK, INFORMATIONSTECHNISCHE BILDUNG, DEUTSCH, ELEMENTARBEREICH, VORSCHULERZIEHUNG, GESCHICHTE;;
False;American Dream Material A Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/dd9bfb37-7bbd-4cae-a489-70eecbc74580;;;;;;
True;Lernnachweis Schreiben G - Zweiter Versuch;https://www.tutory.de/bereitstellung/dokument/f28252ed-a04a-43fc-9ad3-4cb71426842a;;;Schreiben, Anlässe zum Sprechen, Lesen, Schreiben, Schreiben;GRUNDSCHULE, DEUTSCH;;
False;Leistungskontrolle Emser Depesche- Fake News;https://www.tutory.de/bereitstellung/dokument/147baa65-2bc8-4db7-99eb-f44fb5f77db0;;;;;;
False;Leistungsüberprüfung inkl. Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/e698703f-e9a4-4acc-b821-58703b685f1c;;;;;;
True;Niveau B -Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/df5b0a8c-9794-47b7-825b-14b944003b69;;;Mittelalter;DEUTSCH;;
True;Niveau A - Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/edb7b424-c661-45f6-8ddc-a415d39adeeb;;;Mittelalter;DEUTSCH;;
True;Lehrplanverortung, Lernbereichsplanung, didaktische- und inhaltliche Schwerpunktsetzung und Lernzielformulierung;https://www.tutory.de/bereitstellung/dokument/9e3b5a01-5705-4b5c-8fc7-831e9c58f04f;;;Kaiser, Kirche, Reich, Neue Stilrichtungen, Form, Komposition, Perspektive, Sprechen, Schreiben;MUSIK, DEUTSCH, BILDENDE KUNST, GESCHICHTE;;
False;Leistungsüberprüfung inkl. Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/757bed4a-64a2-4dbf-b9b3-37e2800275d5;;;;;;
True;Niveau B -Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/e1c937bf-6095-4180-86da-dd03c239a948;;;Mittelalter;DEUTSCH;;
True;Niveau A - Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/1f616e2d-9729-4cf7-8345-6b4c8f13fc02;;;Mittelalter;DEUTSCH;;
True;Lehrplanverortung, Lernbereichsplanung, didaktische- und inhaltliche Schwerpunktsetzung und Lernzielformulierung;https://www.tutory.de/bereitstellung/dokument/f61bae5e-0996-45e7-84d3-a70919e8d82b;;;Kaiser, Kirche, Reich, Neue Stilrichtungen, Form, Komposition, Perspektive, Sprechen, Schreiben;MUSIK, DEUTSCH, BILDENDE KUNST, GESCHICHTE;;
False;Leistungsüberprüfung inkl. Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/7193a2d0-d2c4-4ce0-81ef-43c38a857be0;;;;;;
True;Niveau B -Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/3817d0d9-75c2-44be-a9e0-ab45c2cc0081;;;Mittelalter;DEUTSCH;;
True;Niveau B -Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/ba14a8dc-b91b-44ed-b9dd-201379332658;;;Mittelalter;DEUTSCH;;
True;Niveau A - Leben in einer Stadt des Mittelalters;https://www.tutory.de/bereitstellung/dokument/2e6ac17f-b8fe-4ba5-8967-53e6b3c2845b;;;Mittelalter;DEUTSCH;;
True;Lehrplanverortung, Lernbereichsplanung, didaktische- und inhaltliche Schwerpunktsetzung und Lernzielformulierung;https://www.tutory.de/bereitstellung/dokument/ee9137b6-0c3c-4cb6-8bac-cdd856d2804b;;;Kaiser, Kirche, Reich, Neue Stilrichtungen, Form, Komposition, Perspektive, Sprechen, Schreiben;MUSIK, DEUTSCH, BILDENDE KUNST, GESCHICHTE;;
True;Form und Erwartungshorizont der Leistungsüberprüfung;https://www.tutory.de/bereitstellung/dokument/f036cf1f-aaff-4c55-bf90-59dc90a59a3e;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
False;Schädlingsbekämpfung im Magazin;https://www.tutory.de/bereitstellung/dokument/83e15768-d8f8-4a09-b5f3-b11f926c10de;;;;;;
False;Emser Depesche (1870) Erwartungshorizont Niveau B;https://www.tutory.de/bereitstellung/dokument/69f14e28-ddc4-43bf-ac73-0492243f460e;;;;;;
False;Emser Depesche (1870) Niveau B;https://www.tutory.de/bereitstellung/dokument/ce4aa1df-2414-4398-9e5b-826659a5ea89;;;;;;
False;Emser Depesche (1870) Erwartungshorizont Niveau A;https://www.tutory.de/bereitstellung/dokument/2571deba-42fd-4b0a-8af4-b23e6b5247ae;;;;;;
False;Emser Depesche (1870) Niveau A;https://www.tutory.de/bereitstellung/dokument/0ae679be-42fe-41b9-9c79-848e92141f75;;;;;;
True;Hilf Paddington Bär!;https://www.tutory.de/bereitstellung/dokument/2903e2b9-cf25-435e-9729-0b29cdc8a304;;;Ton;PRAXISORIENTIERTE FÄCHER;;
False;Test-EN_V01;https://www.tutory.de/bereitstellung/dokument/49d9fa0b-5ef9-4950-aa53-907837f1deb7;;;;;;
False;Prüfungsleistung - Leistungsüberprüfung ;https://www.tutory.de/bereitstellung/dokument/f613d6de-a5de-4149-99b5-7c151facae1b;;;;;;
