inferenced;title;url;discipline;learningResourceType;systematics;discipline systematics;words primary
True;Grundlagen Gesundheit; Geschichte Infektionskrankheiten;https://www.tutory.de/bereitstellung/dokument/d68d7146-fe47-4de6-aaed-5bd234c062e2;Geschichte, Gesundheit;;Außereuropäische Staaten und Völker, Restauration, Revolutionen des 19. Jahrhunderts, Vor- und Frühgeschichte, Weimarer Republik, Griechische Geschichte, Alltag, Kultur, Krankheitsvorsorge und Früherkennung, Arbeit, Handwerk, Nationale Bewegungen und Deutsches Kaiserreich, Bürgerliche Revolutionen des 18. Jahrhunderts, Bildung und Wissenschaft, Medizinische Versorgung, Kriege, Kreuzzüge, Normannen, Recht, Gesundheit, Deutsche Demokratische Republik 1949 - 1990, Bilingualer Unterricht, Islam, Judentum, Außereuropäische Geschichte, Internationale Entwicklungen, Quellenkunde, Völkerwanderung, germanische Geschichte, Industrialisierung und soziale Frage, Römische Geschichte, etruskische Geschichte, Osteuropäische Länder, Grundlagen, Allgemeine Längs- und Querschnitte, Kriegs- und Wehrwesen, Wirtschaft, Märchen und Geschichten, Ernährung, Gesundheitssport, Krankheit, Humanismus und Renaissance, Zweiter Weltkrieg, Siedlungsformen, Politische und gesellschaftliche Entwicklung, Imperialismus und Erster Weltkrieg, Regionalgeschichte, Lokalgeschichte, Gesellschaft, Technik, Verkehr, Landesgeschichte, Westeuropäische Länder, Regeneration, Bewegung, Formen der Weltauffassung, Religion, Kaiser, Kirche, Reich, Körperpflege, Wirtschaft und Gesellschaft, Frühe Hochkulturen, Reformation, Bauernkriege, Glaubenskämpfe, Verfolgung, Absolutismus, Aufklärung, Parlamentarismus, Napoleon, Napoleonisches Zeitalter, Bundesrepublik Deutschland, Neuere Geschichte außereuropäischer Staaten und Völker, Europa, Psychologie/Psychiatrie, Bundesrepublik Deutschland 1949 - 1990, Staat, Herrschaftsformen, Krankheiten und Vorbeugung, Kultur, Außereuropäische Staaten und Völker, Internationale Entwicklungen, Behinderung, Alliierte Besatzung 1945 -1949, Zeitalter der Entdeckungen, Eroberungen und Erfindungen, Zahnpflege, Widerstand, Weitere Themen der neueren europäischen Geschichte, Biographien, Grundlagen;BIOLOGIE, SPORT, GESUNDHEIT, ELEMENTARBEREICH, VORSCHULERZIEHUNG, BERUFLICHE BILDUNG, GESCHICHTE;;
False;parallelogramm-fläche-entdecken;https://www.tutory.de/bereitstellung/dokument/67046099-a9a8-4471-a8e3-0bdf5a1100f1;;;;;;
False;dreieck-außerstehende-höhe;https://www.tutory.de/bereitstellung/dokument/19ae0073-785a-4902-a6a5-1f539ba887b9;;;;;;
False;Fläche von Dreiecken;https://www.tutory.de/bereitstellung/dokument/de972e30-bdaf-449c-a15d-1c037affe01c;;;;;;
False;Einstieg in die Flächenberechnung des Dreiecks;https://www.tutory.de/bereitstellung/dokument/eda4eac0-7c68-487d-806f-9901e017aa30;;;;;;
True;Bestimmung der Siedetemperatur;https://www.tutory.de/bereitstellung/dokument/3aafa101-f6cc-4005-b388-65d13f501643;;;Temperatur, Wärmemenge;PHYSIK;;
True;Stoffgemische;https://www.tutory.de/bereitstellung/dokument/6bbbb6cc-fe7d-40e0-97b6-1feadcc7e5b3;;;Stoffgemische;CHEMIE;;
True;Übungen zum sinnerfassenden Lesen;https://www.tutory.de/bereitstellung/dokument/f0108225-90d1-498f-a799-272e2510a699;;Übung;Lesen, Lesetechnik, Umgang mit Texten, Lesen, Lesetechnik, Umgang mit Texten, Anlässe zum Sprechen, Lesen, Schreiben;GRUNDSCHULE, DEUTSCH;;
False;Aufstellen von Gleichungen;https://www.tutory.de/bereitstellung/dokument/b39eb7bc-e515-408c-81a6-18d2bb6deca1;;;;;;
True;Salibonani Gruppenarbeit;https://www.tutory.de/bereitstellung/dokument/28a6a2d7-ebba-4d19-93e3-b0b31706934b;;;Grundlagen der Weiterbildung, Milieufilm, Historienfilm, Allgemein, Materialien, Fremdsprachen, Weitere außereuropäische Fremdsprachen, Gesellschafts- und sozialkritische Film, Weitere europäische Fremdsprachen, Theaterverfilmung, Tod, Sterben, Andere Materialien, Arbeit, Macht, Machtmissbrauch, Sonstige Trickarten, Besondere metallische Gebiete, Sonstige Bereiche, Sonstige Gattungen, Zielgruppenangebot, Grundlagen, Themenübergreifende Darstellungen, Techniken, Ressourcenschonende Techniken, Sonstige Gattungen, Grundlagen, Untergründe;PRAXISORIENTIERTE FÄCHER, SPIEL- UND DOKUMENTARFILM, WEITERBILDUNG, UMWELTGEFÄHRDUNG, UMWELTSCHUTZ, FREMDSPRACHEN, BERUFLICHE BILDUNG, POLITISCHE BILDUNG;;
True;Wiederholung zu Textaufgaben;https://www.tutory.de/bereitstellung/dokument/df57f746-4fa5-4943-babc-d15bc94e7435;;Text;;;;
False;EVA-Prinzip;https://www.tutory.de/bereitstellung/dokument/ecfe2f85-f12c-49af-8649-b72b0eea1de6;;;;;;
False;Aufstellen von Gleichungen;https://www.tutory.de/bereitstellung/dokument/42e5c66e-bb0a-40df-b3ee-2ef4a20ee5ce;;;;;;
False;Aufstellen von Gleichungen Hilfen;https://www.tutory.de/bereitstellung/dokument/cc451d95-0715-4a2b-aaac-6f10fb72ff7f;;;;;;
False;Aufstellen von Gleichungen;https://www.tutory.de/bereitstellung/dokument/78ec8c85-3400-4e9a-8060-fd7b1197ec64;;;;;;
True;Lustige Gesichte zu den Modalverben;https://www.tutory.de/bereitstellung/dokument/01f725e4-6f4f-434b-9794-2b2dbcfd0410;;;Sprechen, Schreiben;DEUTSCH;;
True;Deutschklassenarbeit am 29.09.2020;https://www.tutory.de/bereitstellung/dokument/2642afd4-c226-4c36-8567-c1aa002bfa5b;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Arbeit, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH, POLITISCHE BILDUNG;;
True;Deutschklassenarbeit am 29.09.2020;https://www.tutory.de/bereitstellung/dokument/ba339b5f-f46a-42b3-93be-fa92539f48ab;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Arbeit, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH, POLITISCHE BILDUNG;;
